device,VG,VD,ID,IG,IS,W,L,sqrt_ID,gm,absIg,Ca,Mob_Sat,SS,absId
bot1,-2.0,5,-2.0142e-12,2.1000000000000003e-12,-4.1e-13,40,10,1.4192251407017844e-06,-1.3518e-11,2.1000000000000003e-12,1.33e-07,4.839416250233236e-05,-1.674719056360328,2.0142e-12
bot1,-1.9,5,2.3258e-12,-1.695e-11,-4.58e-12,40,10,1.5250573759698357e-06,3.081700000000001e-11,1.695e-11,1.33e-07,3.5864147011203986e-05,1.5693088879592936,2.3258e-12
bot1,-1.8,5,4.1492e-12,-6.01e-11,-1.606e-11,40,10,2.0369585170051943e-06,-3.667899999999996e-11,6.01e-11,1.33e-07,4.781195660616178e-05,1.6663267984206327,4.1492e-12
bot1,-1.7,5,-5.01e-12,1.73e-12,3.503e-11,40,10,2.238302928559939e-06,-1.0034000000000003e-11,1.73e-12,1.33e-07,3.088649019391852e-05,-1.435319047777908,5.01e-12
bot1,-1.6,5,2.1424e-12,-1.88e-12,2.900000000000001e-13,40,10,1.4636939570825589e-06,1.4034e-11,1.88e-12,1.33e-07,5.342981526888927e-05,-1.7839190147719912,2.1424e-12
bot1,-1.5,5,-2.2032e-12,1.566e-11,4.01e-12,40,10,1.4843180252223578e-06,-3.149100000000001e-11,1.566e-11,1.33e-07,3.106123955759101e-05,1.4387703953805269,2.2032e-12
bot1,-1.4,5,-4.1558e-12,5.953e-11,1.5980000000000003e-11,40,10,2.0385779357189166e-06,3.615500000000001e-11,5.953e-11,1.33e-07,5.399433555815529e-05,1.7916203535921498,4.1558e-12
bot1,-1.3,5,5.0278e-12,-2.51e-12,-3.4620000000000006e-11,40,10,2.2422756298011175e-06,1.0945999999999988e-11,2.51e-12,1.33e-07,3.804317838107522e-05,-1.62469301958965,5.0278e-12
bot1,-1.2,5,-1.9666e-12,1.4700000000000002e-12,-6.400000000000001e-13,40,10,1.4023551618616449e-06,-1.3450000000000004e-11,1.4700000000000002e-12,1.33e-07,4.7817786725078685e-05,-1.6628531966699005,1.9666e-12
bot1,-1.1,5,2.3378e-12,-1.7450000000000002e-11,-4.77e-12,40,10,1.5289865924853623e-06,3.1072000000000007e-11,1.7450000000000002e-11,1.33e-07,4.077427345023306e-05,1.6722401287822568,2.3378e-12
bot1,-1.0,5,4.2478e-12,-6.142e-11,-1.724e-11,40,10,2.061019165364553e-06,-3.6748999999999994e-11,6.142e-11,1.33e-07,4.7346202939734635e-05,1.6560185401240708,4.2478e-12
bot1,-0.9,5,-5.012e-12,9.100000000000002e-13,3.4620000000000006e-11,40,10,2.2387496510329158e-06,-1.2745000000000002e-11,9.100000000000002e-13,1.33e-07,5.394894457753726e-05,-1.9901090413195903,5.012e-12
bot1,-0.8,5,1.6988e-12,-3.2100000000000007e-12,3.5e-13,40,10,1.3033802208104891e-06,1.3285000000000004e-11,3.2100000000000007e-12,1.33e-07,4.660013420299915e-05,-1.6401007542859871,1.6988e-12
bot1,-0.7,5,-2.355e-12,1.7800000000000003e-11,4.84e-12,40,10,1.5346009253222803e-06,-2.942099999999999e-11,1.7800000000000003e-11,1.33e-07,5.180679279346363e-05,1.9579735882746436,2.355e-12
bot1,-0.6,5,-4.1854e-12,6.162e-11,1.668e-11,40,10,2.0458250169552622e-06,3.672199999999998e-11,6.162e-11,1.33e-07,4.593370353365436e-05,1.630287056206869,4.1854e-12
bot1,-0.5,5,4.9894e-12,-1.2500000000000001e-12,-3.499e-11,40,10,2.233696487887287e-06,1.1793e-11,1.2500000000000001e-12,1.33e-07,4.5296988891915e-05,-1.800229835193044,4.9894e-12
bot1,-0.4,5,-1.8268e-12,2.6000000000000002e-12,-6.700000000000002e-13,40,10,1.3515916543098363e-06,-1.3552e-11,2.6000000000000002e-12,1.33e-07,4.92729322367325e-05,-1.701519987629565,1.8268e-12
bot1,-0.3,5,2.279e-12,-1.593e-11,-4.98e-12,40,10,1.5096357176484664e-06,2.9775e-11,1.593e-11,1.33e-07,4.348492768904928e-05,1.7703486328690143,2.279e-12
bot1,-0.2,5,4.1282e-12,-6.063e-11,-1.666e-11,40,10,2.03179723397784e-06,-3.4134000000000005e-11,6.063e-11,1.33e-07,3.646908942315584e-05,1.5002851607660264,4.1282e-12
bot1,-0.1,5,-4.5478e-12,1.6800000000000001e-12,3.413e-11,40,10,2.1325571504651404e-06,1.1986999999999996e-11,1.6800000000000001e-12,1.33e-07,2.5680895828457403e-05,0.9942985989517084,4.5478e-12
bot1,0.0,5,6.5256e-12,1.5e-12,-8.910000000000001e-12,40,10,2.554525396233124e-06,4.67956e-10,1.5e-12,1.33e-07,0.0050135698081188,6.459001886241582,6.5256e-12
bot1,0.1,5,8.90434e-11,-6.131e-11,-1.0745e-10,40,10,9.436281047107488e-06,3.835472e-09,6.131e-11,1.33e-07,0.0599663846156596,10.369536197564306,8.90434e-11
