VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,4.1384e-12,-6.222e-11,3.0830000000000005e-11,6.222e-11,4.1384e-12,-17932716447.887527
0.1,-5,-1.438e-12,2.14e-12,-1.4300000000000002e-12,2.14e-12,1.438e-12,-46264168401.572975
0.2,-5,-1.846e-13,9.4e-13,-2.0200000000000007e-12,9.4e-13,1.846e-13,90407738902.45004
0.3,-5,7.742e-13,-2.0200000000000007e-12,-2.97e-12,2.0200000000000007e-12,7.742e-13,96796050721.13057
0.4,-5,1.8816e-12,-1.126e-11,-4.400000000000001e-12,1.126e-11,1.8816e-12,103498240529.911
0.5,-5,2.7066e-12,-2.527e-11,-5.570000000000001e-12,2.527e-11,2.7066e-12,125156445556.94617
0.6,-5,3.4796e-12,-4.174e-11,-8.11e-12,4.174e-11,3.4796e-12,171408981830.64795
0.7,-5,3.8734e-12,-5.351e-11,-1.117e-11,5.351e-11,3.8734e-12,291290416545.2958
0.8,-5,4.1662e-12,-6.107e-11,-1.5450000000000002e-11,6.107e-11,4.1662e-12,507614213197.9693
0.9,-5,4.2674e-12,-6.144000000000001e-11,-2.081e-11,6.144000000000001e-11,4.2674e-12,-22406955118.86889
1.0,-5,-4.7596e-12,2.9840000000000004e-11,3.5090000000000005e-11,2.9840000000000004e-11,4.7596e-12,-23003312476.996696
1.1,-5,-4.427e-12,8.300000000000001e-13,1.896e-11,8.300000000000001e-13,4.427e-12,29091755396.520622
1.2,-5,2.1152e-12,-2.57e-12,-4.7e-13,2.57e-12,2.1152e-12,37446171129.002045
1.3,-5,9.14e-13,-1.6e-12,1.36e-12,1.6e-12,9.14e-13,-81406707912.73207
1.4,-5,-3.416e-13,5.500000000000001e-13,2.39e-12,5.500000000000001e-13,3.416e-13,-84381064889.0389
1.5,-5,-1.4562e-12,6.0600000000000004e-12,3.13e-12,6.0600000000000004e-12,1.4562e-12,-102606197414.3238
1.6,-5,-2.2908e-12,1.59e-11,4.21e-12,1.59e-11,2.2908e-12,-140173815531.25873
1.7,-5,-2.883e-12,2.918e-11,5.79e-12,2.918e-11,2.883e-12,-180180180180.1801
1.8,-5,-3.4008e-12,4.4300000000000005e-11,8.65e-12,4.4300000000000005e-11,3.4008e-12,-204415372035.97736
1.9,-5,-3.8614e-12,5.4830000000000006e-11,1.173e-11,5.4830000000000006e-11,3.8614e-12,-256344527044.34747
2.0,-5,-4.181e-12,6.021e-11,1.6740000000000002e-11,6.021e-11,4.181e-12,-390015600624.0249
2.1,-5,-4.3742e-12,6.211e-11,2.16e-11,6.211e-11,4.3742e-12,22235069151.06508
2.2,-5,4.8138e-12,-2.8820000000000004e-11,-3.5860000000000006e-11,2.8820000000000004e-11,4.8138e-12,23022377751.17416
2.3000000000000003,-5,4.313e-12,-1.4400000000000001e-12,-1.6980000000000002e-11,1.4400000000000001e-12,4.313e-12,-30391441769.997528
2.4,-5,-1.767e-12,2.14e-12,-7.5e-13,2.14e-12,1.767e-12,-42383656861.914
2.5,-5,-4.058e-13,1.37e-12,-1.93e-12,1.37e-12,4.058e-13,74465708541.21683
2.6,-5,9.188e-13,-2.49e-12,-3.15e-12,2.49e-12,9.188e-13,82297753271.33574
2.7,-5,2.0244e-12,-1.374e-11,-3.82e-12,1.374e-11,2.0244e-12,101204331545.3902
2.8000000000000003,-5,2.895e-12,-3.005e-11,-5.880000000000001e-12,3.005e-11,2.895e-12,133636242148.8706
2.9,-5,3.521e-12,-4.413e-11,-8.590000000000001e-12,4.413e-11,3.521e-12,190512478567.34595
3.0,-5,3.9448e-12,-5.431e-11,-1.219e-11,5.431e-11,3.9448e-12,308641975308.6424
3.1,-5,4.169e-12,-6.180000000000001e-11,-1.719e-11,6.180000000000001e-11,4.169e-12,498007968127.4902
3.2,-5,4.3464e-12,-6.24e-11,-2.3300000000000003e-11,6.24e-11,4.3464e-12,-22257834757.834778
3.3000000000000003,-5,-4.8166e-12,1.881e-11,3.6510000000000005e-11,1.881e-11,4.8166e-12,-23666958559.15553
3.4,-5,-4.1042e-12,1.9900000000000002e-12,1.295e-11,1.9900000000000002e-12,4.1042e-12,32768620768.7518
3.5,-5,1.2868e-12,-2.4000000000000007e-12,1.22e-12,2.4000000000000007e-12,1.2868e-12,49154541879.66972
3.6,-5,-3.54e-14,-1.8000000000000004e-13,1.96e-12,1.8000000000000004e-13,3.54e-14,-77303648732.22023
3.7,-5,-1.3004e-12,4.6400000000000004e-12,2.92e-12,4.6400000000000004e-12,1.3004e-12,-89031339031.33911
3.8,-5,-2.2818e-12,1.6560000000000002e-11,4.390000000000001e-12,1.6560000000000002e-11,2.2818e-12,-113378684807.2561
3.9,-5,-3.0644e-12,3.1410000000000004e-11,6.670000000000001e-12,3.1410000000000004e-11,3.0644e-12,-147645061272.70026
4.0,-5,-3.6364e-12,4.891e-11,9.300000000000001e-12,4.891e-11,3.6364e-12,-216966804078.97556
4.1,-5,-3.9862e-12,5.7780000000000006e-11,1.3080000000000002e-11,5.7780000000000006e-11,3.9862e-12,-408163265306.1226
4.2,-5,-4.1264e-12,6.092000000000001e-11,1.724e-11,6.092000000000001e-11,4.1264e-12,-567536889897.8439
4.3,-5,-4.3386e-12,6.126e-11,2.235e-11,6.126e-11,4.3386e-12,22201500821.45555
4.4,-5,4.882e-12,-2.6380000000000004e-11,-3.671e-11,2.6380000000000004e-11,4.882e-12,22856620420.104706
4.5,-5,4.4116e-12,-1.02e-12,-1.706e-11,1.02e-12,4.4116e-12,-29354781893.97056
4.6000000000000005,-5,-1.9312e-12,3.1400000000000004e-12,-7.600000000000002e-13,3.1400000000000004e-12,1.9312e-12,-39019822069.61138
4.7,-5,-7.14e-13,1.2500000000000001e-12,-1.85e-12,1.2500000000000001e-12,7.14e-13,88534749889.33125
4.8,-5,3.278e-13,6.3e-13,-2.26e-12,6.3e-13,3.278e-13,94688003030.0162
4.9,-5,1.3982e-12,-5.23e-12,-3.5900000000000007e-12,5.23e-12,1.3982e-12,105374077976.81778
5.0,-5,2.2258e-12,-1.347e-11,-4.72e-12,1.347e-11,2.2258e-12,120831319478.00829
0.0,-4,-4.8378e-12,6.56e-12,3.635e-11,6.56e-12,4.8378e-12,65876152832.67457
0.1,-4,-3.3198e-12,2.18e-12,6.0600000000000004e-12,2.18e-12,3.3198e-12,37416747736.28676
0.2,-4,5.074e-13,-1.0600000000000001e-12,1.7700000000000001e-12,1.0600000000000001e-12,5.074e-13,78173858661.66351
0.3,-4,-7.614e-13,1.74e-12,2.6000000000000002e-12,1.74e-12,7.614e-13,-92097992263.76865
0.4,-4,-1.6642e-12,8.810000000000001e-12,3.46e-12,8.810000000000001e-12,1.6642e-12,-134789055128.72356
0.5,-4,-2.2452e-12,1.6870000000000002e-11,4.800000000000001e-12,1.6870000000000002e-11,2.2452e-12,-149365197908.88718
0.6,-4,-3.0032e-12,3.059e-11,6.470000000000001e-12,3.059e-11,3.0032e-12,-153609831029.18588
0.7,-4,-3.5472e-12,4.5180000000000006e-11,8.97e-12,4.5180000000000006e-11,3.5472e-12,-197122018529.46976
0.8,-4,-4.0178e-12,5.5990000000000005e-11,1.1760000000000002e-11,5.5990000000000005e-11,4.0178e-12,-253164556962.02536
0.9,-4,-4.3372e-12,6.06e-11,1.635e-11,6.06e-11,4.3372e-12,-718390804597.7007
1.0,-4,-4.2962e-12,6.226e-11,2.158e-11,6.226e-11,4.2962e-12,21893814997.263283
1.1,-4,4.7978e-12,-2.868e-11,-3.612e-11,2.868e-11,4.7978e-12,22892200627.246296
1.2,-4,4.4404e-12,-1.3500000000000001e-12,-1.979e-11,1.3500000000000001e-12,4.4404e-12,-28546959748.786747
1.3,-4,-2.2082e-12,1.8400000000000002e-12,-1.5000000000000004e-13,1.8400000000000002e-12,2.2082e-12,-36039932244.92741
1.4,-4,-1.109e-12,3.0300000000000002e-12,-1.37e-12,3.0300000000000002e-12,1.109e-12,99088386841.0622
1.5,-4,-1.898e-13,2.5e-13,-2.03e-12,2.5e-13,1.898e-13,90415913200.72333
1.6,-4,1.103e-12,-3.72e-12,-3.4100000000000002e-12,3.72e-12,1.103e-12,90317919075.14449
1.7,-4,2.0246e-12,-1.25e-11,-4.01e-12,1.25e-11,2.0246e-12,120977498185.33752
1.8,-4,2.7562e-12,-2.615e-11,-5.770000000000001e-12,2.615e-11,2.7562e-12,147579693034.23865
1.9,-4,3.3798e-12,-4.022e-11,-8.12e-12,4.022e-11,3.3798e-12,188359389715.57724
2.0,-4,3.818e-12,-5.467e-11,-1.193e-11,5.467e-11,3.818e-12,282167042889.3903
2.1,-4,4.0886e-12,-5.982e-11,-1.5630000000000002e-11,5.982e-11,4.0886e-12,399361022364.2179
2.2,-4,4.3188e-12,-6.225e-11,-2.121e-11,6.225e-11,4.3188e-12,-22355360815.523582
2.3000000000000003,-4,-4.8578e-12,3.0320000000000005e-11,3.536e-11,3.0320000000000005e-11,4.8578e-12,-22606022244.325855
2.4,-4,-4.5284e-12,7.5e-13,1.7650000000000002e-11,7.5e-13,4.5284e-12,28261361067.14896
2.5,-4,2.219e-12,-2.5300000000000003e-12,-6.8e-13,2.5300000000000003e-12,2.219e-12,35891177948.460304
2.6,-4,1.044e-12,-2.31e-12,1.3500000000000001e-12,2.31e-12,1.044e-12,-95721259691.77763
2.7,-4,1.296e-13,-1.13e-12,1.85e-12,1.13e-12,1.296e-13,-107573149741.82454
2.8000000000000003,-4,-8.152e-13,2e-12,2.5600000000000004e-12,2e-12,8.152e-13,-118385225523.85448
2.9,-4,-1.5598e-12,9.61e-12,3.77e-12,9.61e-12,1.5598e-12,-121891760117.01591
3.0,-4,-2.456e-12,2.243e-11,5.28e-12,2.243e-11,2.456e-12,-126230749810.654
3.1,-4,-3.1442e-12,3.238e-11,6.7300000000000014e-12,3.238e-11,3.1442e-12,-170386777986.02847
3.2,-4,-3.6298e-12,4.6890000000000006e-11,8.880000000000003e-12,4.6890000000000006e-11,3.6298e-12,-242954324586.97772
3.3000000000000003,-4,-3.9674e-12,5.4610000000000006e-11,1.1870000000000002e-11,5.4610000000000006e-11,3.9674e-12,-354861603974.4492
3.4,-4,-4.1934e-12,6.088e-11,1.601e-11,6.088e-11,4.1934e-12,-663129973474.8014
3.5,-4,-4.269e-12,6.169000000000001e-11,2.069e-11,6.169000000000001e-11,4.269e-12,22318439494.71055
3.6,-4,4.7678e-12,-2.8910000000000003e-11,-3.605e-11,2.8910000000000003e-11,4.7678e-12,22716946842.34441
3.7,-4,4.535e-12,-1.17e-12,-1.861e-11,1.17e-12,4.535e-12,-28989708653.428062
3.8,-4,-2.1312e-12,2.03e-12,2.2000000000000002e-13,2.03e-12,2.1312e-12,-35346930119.11911
3.9,-4,-1.1232e-12,1.8400000000000002e-12,-1.5e-12,1.8400000000000002e-12,1.1232e-12,81149070843.13875
4.0,-4,3.334e-13,-9.3e-13,-2.19e-12,9.3e-13,3.334e-13,85925416738.27107
4.1,-4,1.2044e-12,-4.850000000000001e-12,-3.07e-12,4.850000000000001e-12,1.2044e-12,111259457053.84969
4.2,-4,2.131e-12,-1.544e-11,-5.03e-12,1.544e-11,2.131e-12,107793467715.85652
4.3,-4,3.0598e-12,-3.2720000000000004e-11,-6.930000000000001e-12,3.2720000000000004e-11,3.0598e-12,137816979051.81934
4.4,-4,3.5822e-12,-4.713e-11,-9.29e-12,4.713e-11,3.5822e-12,207168013258.75296
4.5,-4,4.0252e-12,-5.725e-11,-1.324e-11,5.725e-11,4.0252e-12,295595625184.7476
4.6000000000000005,-4,4.2588e-12,-6.245e-11,-1.828e-11,6.245e-11,4.2588e-12,529661016949.1537
4.7,-4,4.4028e-12,-6.148e-11,-2.329e-11,6.148e-11,4.4028e-12,-21961128802.020348
4.8,-4,-4.8482e-12,2.082e-11,3.703e-11,2.082e-11,4.8482e-12,-23395096387.79713
4.9,-4,-4.146e-12,2.11e-12,1.497e-11,2.11e-12,4.146e-12,31738978639.6674
5.0,-4,1.4532e-12,-3.1400000000000004e-12,8.400000000000001e-13,3.1400000000000004e-12,1.4532e-12,17859694242.03451
0.0,-3,-4.077e-12,6.163000000000001e-11,2.003e-11,6.163000000000001e-11,4.077e-12,11152996810.242914
