VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
-1.7,0.1,3.6248e-12,-4.148e-11,-1.2170000000000002e-11,-2.7941e-11,4.148e-11,3.6248e-12,40,5,1.33e-07,-0.0002626033834586,3.721345682809504,-3.0648499999999995e-10
-1.6,0.1,-4.735e-12,1.9330000000000003e-11,4.251e-11,-2.741e-11,1.9330000000000003e-11,4.735e-12,40,5,1.33e-07,-0.0002576127819548,-1.4521268708849624,3.1243000000000013e-10
-1.5,0.1,-1.8572e-12,1.88e-12,-8.100000000000001e-13,3.454500000000001e-11,1.88e-12,1.8572e-12,40,5,1.33e-07,0.0003246710526315,-1.6903022179450835,2.8441000000000005e-10
-1.4,0.1,2.174e-12,-1.4760000000000003e-11,-5.6e-12,2.947200000000001e-11,1.4760000000000003e-11,2.174e-12,40,5,1.33e-07,0.000276992481203,1.686107947935334,-3.51575e-10
-1.3,0.1,4.0372e-12,-4.927e-11,-1.839e-11,-3.5769999999999964e-11,4.927e-11,4.0372e-12,40,5,1.33e-07,-0.0003361842105263,1.7998490150472153,-1.872649999999999e-10
-1.2,0.1,-4.98e-12,3.2100000000000007e-12,4.156e-11,-7.981000000000002e-12,3.2100000000000007e-12,4.98e-12,40,5,1.33e-07,-7.50093984962406e-05,-1.0925624258200808,2.632649999999999e-10
-1.1,0.1,2.441e-12,-9.200000000000001e-13,-1.6600000000000002e-12,1.6883000000000004e-11,9.200000000000001e-13,2.441e-12,40,5,1.33e-07,0.00015867481203,-2.460937317491743,-1.1799499999999994e-10
-1.0,0.1,-1.6034e-12,8.76e-12,3.91e-12,-3.157999999999998e-11,8.76e-12,1.6034e-12,40,5,1.33e-07,-0.0002968045112781,1.003519637125709,7.584e-11
-0.9,0.1,-3.875e-12,4.629e-11,1.551e-11,3.205100000000001e-11,4.629e-11,3.875e-12,40,5,1.33e-07,0.0003012312030075,2.3840708661947567,1.8287499999999995e-10
-0.8,0.1,4.8068e-12,-8.41e-12,-4.316e-11,4.995e-12,8.41e-12,4.8068e-12,40,5,1.33e-07,4.69454887218045e-05,-0.6474141256574307,-2.5170500000000006e-10
-0.7,0.1,-2.876e-12,1.7200000000000001e-12,3.740000000000001e-12,-1.8289999999999996e-11,1.7200000000000001e-12,2.876e-12,40,5,1.33e-07,-0.0001718984962406,-3.1080581280104798,1.410299999999999e-10
-0.6,0.1,1.1488e-12,-5.110000000000001e-12,-4.03e-12,3.320099999999999e-11,5.110000000000001e-12,1.1488e-12,40,5,1.33e-07,0.0003120394736842,0.5844190432623095,-2.814500000000005e-11
-0.5,0.1,3.7642e-12,-4.304e-11,-1.315e-11,-2.3919000000000004e-11,4.304e-11,3.7642e-12,40,5,1.33e-07,-0.0002248026315789,2.5012999414841635,9.426000000000008e-11
-0.4,0.1,-3.635e-12,1.5960000000000002e-11,4.142e-11,5.2053e-11,1.5960000000000002e-11,3.635e-12,40,5,1.33e-07,0.000489219924812,2.8792212477333567,5.33147e-09
-0.3,0.1,1.41748e-11,2.52e-12,-1.668e-11,1.042375e-09,2.52e-12,1.41748e-11,40,5,1.33e-07,0.0097967575187969,8.754551759836504,4.9342865e-08
-0.2,0.1,2.0484e-10,4.567e-11,-1.8883e-10,9.920626e-09,4.567e-11,2.0484e-10,40,5,1.33e-07,0.0932389661654135,10.745718742332723,2.69329625e-07
-0.1,0.1,1.9983e-09,-2.49e-12,-1.9303e-09,5.49083e-08,2.49e-12,1.9983e-09,40,5,1.33e-07,0.5160554511278194,8.686397299040282,6.3910437e-07
0.0,0.1,1.11865e-08,1.5700000000000002e-12,-1.11719e-08,1.377415e-07,1.5700000000000002e-12,1.11865e-08,40,5,1.33e-07,1.2945629699248113,5.84923412190371,7.252059999999998e-07
0.1,0.1,2.95466e-08,1.1000000000000002e-12,-2.94894e-08,1.9994950000000003e-07,1.1000000000000002e-12,2.95466e-08,40,5,1.33e-07,1.8792246240601496,3.301877526213226,4.700375e-07
0.2,0.1,5.11764e-08,-2.1000000000000003e-12,-5.11418e-08,2.3174900000000002e-07,2.1000000000000003e-12,5.11764e-08,40,5,1.33e-07,2.1780921052631568,2.0485683185096537,3.6960749999999986e-07
0.3,0.1,7.58964e-08,-1.477e-11,-7.59308e-08,2.738709999999999e-07,1.477e-11,7.58964e-08,40,5,1.33e-07,2.573975563909773,1.580168441287748,5.108450000000005e-07
0.4,0.1,1.0595060000000001e-07,-4.337e-11,-1.0601199999999998e-07,3.339180000000001e-07,4.337e-11,1.0595060000000001e-07,40,5,1.33e-07,3.138327067669173,1.3707096210356084,6.38880000000001e-07
0.5,0.1,1.4268e-07,1.7e-13,-1.4244e-07,4.0164700000000013e-07,1.7e-13,1.4268e-07,40,5,1.33e-07,3.774877819548873,1.2253140439504189,6.959099999999987e-07
0.6,0.1,1.8628e-07,-6.840000000000001e-12,-1.8644e-07,4.730999999999998e-07,6.840000000000001e-12,1.8628e-07,40,5,1.33e-07,4.4464285714285685,1.1046731877551117,6.832649999999982e-07
0.7,0.1,2.373e-07,2.099e-11,-2.3714e-07,5.382999999999998e-07,2.099e-11,2.373e-07,40,5,1.33e-07,5.059210526315787,0.9904623028964018,5.860000000000016e-07
0.8,0.1,2.9394e-07,1.78e-12,-2.9358e-07,5.903000000000001e-07,1.78e-12,2.9394e-07,40,5,1.33e-07,5.547932330827067,0.8768540149353001,4.83500000000002e-07
0.9,0.1,3.5536e-07,-4.618e-11,-3.5528e-07,6.350000000000002e-07,4.618e-11,3.5536e-07,40,5,1.33e-07,5.968045112781955,0.7798075344210889,3.9349999999999843e-07
1.0,0.1,4.2094e-07,-1.9200000000000003e-12,-4.2094e-07,6.689999999999999e-07,1.9200000000000003e-12,4.2094e-07,40,5,1.33e-07,6.2875939849624025,0.6939119756037557,2.9200000000000013e-07
1.1,0.1,4.8916e-07,4.542e-11,-4.8904e-07,6.934000000000002e-07,4.542e-11,4.8916e-07,40,5,1.33e-07,6.5169172932330826,0.618365152111533,2.200000000000023e-07
1.2,0.1,5.5962e-07,6.000000000000002e-13,-5.5966e-07,7.130000000000002e-07,6.000000000000002e-13,5.5962e-07,40,5,1.33e-07,6.701127819548873,0.5555059433992816,1.7099999999999437e-07
1.3,0.1,6.3176e-07,-9.33e-12,-6.3168e-07,7.275999999999991e-07,9.33e-12,6.3176e-07,40,5,1.33e-07,6.838345864661644,0.501910620793748,1.299999999999996e-07
1.4,0.1,7.0514e-07,1.92e-11,-7.0496e-07,7.390000000000003e-07,1.92e-11,7.0514e-07,40,5,1.33e-07,6.945488721804512,0.4564871096493307,1.185000000000063e-07
1.5,0.1,7.7956e-07,1.6100000000000002e-12,-7.7952e-07,7.513000000000004e-07,1.6100000000000002e-12,7.7956e-07,40,5,1.33e-07,7.061090225563912,0.4194694730777205,1.2300000000000188e-07
1.6,0.1,8.554e-07,-4.6020000000000006e-11,-8.554e-07,7.636000000000005e-07,4.6020000000000006e-11,8.554e-07,40,5,1.33e-07,7.176691729323312,0.3884841028043829,1.2650000000000053e-07
1.7,0.1,9.3228e-07,-1.59e-12,-9.3238e-07,7.766000000000004e-07,1.59e-12,9.3228e-07,40,5,1.33e-07,7.29887218045113,0.3623080681475033,1.0949999999999237e-07
1.8,0.1,1.01072e-06,4.785e-11,-1.01034e-06,7.85499999999999e-07,4.785e-11,1.01072e-06,40,5,1.33e-07,7.38251879699247,0.3381651513661274,8.400000000000253e-08
1.9,0.1,1.08938e-06,9.8e-13,-1.0897e-06,7.93400000000001e-07,9.8e-13,1.08938e-06,40,5,1.33e-07,7.45676691729324,0.31666114975486,1.0300000000001041e-07
2.0,0.1,1.1694000000000002e-06,1.3500000000000001e-12,-1.1696000000000002e-06,8.061000000000011e-07,1.3500000000000001e-12,1.1694000000000002e-06,40,5,1.33e-07,7.57612781954888,0.2996951328783748,1.1799999999999143e-07
2.1,0.1,1.2506000000000001e-06,9.12e-12,-1.2506000000000001e-06,8.169999999999992e-07,9.12e-12,1.2506000000000001e-06,40,5,1.33e-07,7.67857142857142,0.2840094728072359,1.294999999999911e-07
2.2,0.1,1.3328000000000002e-06,-2.62e-12,-1.334e-06,8.319999999999993e-07,2.62e-12,1.3328000000000002e-06,40,5,1.33e-07,7.819548872180442,0.2712571295140529,1.3750000000000914e-07
2.3000000000000003,0.1,1.4170000000000002e-06,-2.233e-11,-1.4175000000000002e-06,8.445000000000011e-07,2.233e-11,1.4170000000000002e-06,40,5,1.33e-07,7.937030075187978,0.2590909835139058,1.250000000000085e-07
2.4,0.1,1.5017000000000002e-06,-1.14e-12,-1.5025000000000002e-06,8.57000000000001e-07,1.14e-12,1.5017000000000002e-06,40,5,1.33e-07,8.054511278195497,0.2479501407219245,1.149999999999887e-07
2.5,0.1,1.5884e-06,3.8440000000000005e-11,-1.5883e-06,8.67499999999999e-07,3.8440000000000005e-11,1.5884e-06,40,5,1.33e-07,8.15319548872179,0.2374174178463659,1.0499999999999297e-07
2.6,0.1,1.6752e-06,1.6300000000000001e-12,-1.6764000000000002e-06,8.779999999999998e-07,1.6300000000000001e-12,1.6752e-06,40,5,1.33e-07,8.251879699248114,0.2276935120197796,1.25000000000004e-07
2.7,0.1,1.7640000000000002e-06,-4.692e-11,-1.7646000000000002e-06,8.924999999999997e-07,4.692e-11,1.7640000000000002e-06,40,5,1.33e-07,8.388157894736837,0.2198639279973677,1.4250000000000954e-07
2.8000000000000003,0.1,1.8537e-06,-1.6300000000000001e-12,-1.8544e-06,9.065000000000017e-07,1.6300000000000001e-12,1.8537e-06,40,5,1.33e-07,8.519736842105276,0.2124400299791376,1.2250000000001413e-07
2.9,0.1,1.9453e-06,4.9800000000000005e-11,-1.9453e-06,9.170000000000024e-07,4.9800000000000005e-11,1.9453e-06,40,5,1.33e-07,8.6184210526316,0.2048644942059321,9.499999999999192e-08
3.0,0.1,2.0371000000000004e-06,2.77e-12,-2.0377000000000004e-06,9.255e-07,2.77e-12,2.0371000000000004e-06,40,5,1.33e-07,8.698308270676689,0.1973728331962785,1.0749999999998153e-07
3.1,0.1,2.1304000000000004e-06,-4.768e-11,-2.1311e-06,9.384999999999988e-07,4.768e-11,2.1304000000000004e-06,40,5,1.33e-07,8.820488721804498,0.1913931354033813,1.3749999999999434e-07
3.2,0.1,2.2248000000000003e-06,-1.36e-12,-2.2254000000000003e-06,9.529999999999988e-07,1.36e-12,2.2248000000000003e-06,40,5,1.33e-07,8.95676691729322,0.186069935125168,1.3500000000001e-07
3.3000000000000003,0.1,2.3210000000000003e-06,4.185e-11,-2.3211e-06,9.65500000000001e-07,4.185e-11,2.3210000000000003e-06,40,5,1.33e-07,9.074248120300755,0.1807367970027631,1.1000000000000841e-07
3.4,0.1,2.4179e-06,1.5800000000000001e-12,-2.4180000000000004e-06,9.750000000000004e-07,1.5800000000000001e-12,2.4179e-06,40,5,1.33e-07,9.163533834586467,0.1751774815865661,1.0499999999999745e-07
3.5,0.1,2.516e-06,-3.1630000000000005e-11,-2.5166e-06,9.865000000000002e-07,3.1630000000000005e-11,2.516e-06,40,5,1.33e-07,9.271616541353383,0.170332861578286,1.074999999999921e-07
3.6,0.1,2.6152000000000004e-06,-1.4e-12,-2.6158000000000004e-06,9.964999999999988e-07,1.4e-12,2.6152000000000004e-06,40,5,1.33e-07,9.365601503759386,0.1655359142054145,1.2499999999998814e-07
3.7,0.1,2.7153e-06,1.8310000000000003e-11,-2.7160000000000003e-06,1.011499999999998e-06,1.8310000000000003e-11,2.7153e-06,40,5,1.33e-07,9.506578947368398,0.1617950857291548,1.3000000000002025e-07
3.8,0.1,2.8175e-06,2.29e-12,-2.8169e-06,1.0225000000000027e-06,2.29e-12,2.8175e-06,40,5,1.33e-07,9.609962406015063,0.15767642308981,9.000000000001747e-08
3.9,0.1,2.9198000000000004e-06,-7.33e-12,-2.9212e-06,1.0295000000000011e-06,7.33e-12,2.9198000000000004e-06,40,5,1.33e-07,9.67575187969926,0.1531584201063431,8.49999999999864e-08
4.0,0.1,3.0234e-06,-1.333e-11,-3.024e-06,1.0395000000000002e-06,1.333e-11,3.0234e-06,40,5,1.33e-07,9.769736842105262,0.1493599293697214,1.42499999999995e-07
4.1,0.1,3.1277e-06,1.45e-12,-3.1286000000000004e-06,1.0580000000000005e-06,1.45e-12,3.1277e-06,40,5,1.33e-07,9.943609022556393,0.1468933813265314,1.2999999999999801e-07
4.2,0.1,3.2350000000000004e-06,2.768e-11,-3.2339000000000005e-06,1.0654999999999998e-06,2.768e-11,3.2350000000000004e-06,40,5,1.33e-07,10.014097744360898,0.1431269343996442,5.49999999999935e-08
4.3,0.1,3.3408000000000003e-06,1.1600000000000001e-12,-3.3418000000000003e-06,1.068999999999999e-06,1.1600000000000001e-12,3.3408000000000003e-06,40,5,1.33e-07,10.046992481202995,0.1389686242055664,7.499999999999392e-08
4.4,0.1,3.4488000000000003e-06,-4.064e-11,-3.4493e-06,1.0804999999999986e-06,4.064e-11,3.4488000000000003e-06,40,5,1.33e-07,10.15507518796991,0.136105892279179,1.475000000000046e-07
4.5,0.1,3.5569e-06,-1.5400000000000001e-12,-3.5582000000000005e-06,1.0985e-06,1.5400000000000001e-12,3.5569e-06,40,5,1.33e-07,10.32424812030075,0.1341025678248007,1.5500000000000092e-07
4.6000000000000005,0.1,3.668500000000001e-06,4.872e-11,-3.667500000000001e-06,1.1114999999999988e-06,4.872e-11,3.668500000000001e-06,40,5,1.33e-07,10.44642857142856,0.1316411024571805,6.750000000001453e-08
4.7,0.1,3.7792e-06,2.3500000000000007e-12,-3.7799e-06,1.1120000000000029e-06,2.3500000000000007e-12,3.7792e-06,40,5,1.33e-07,10.451127819548898,0.1278077286811778,4.0000000000013725e-08
4.8,0.1,3.8909e-06,-5.015e-11,-3.8913e-06,1.1195000000000015e-06,5.015e-11,3.8909e-06,40,5,1.33e-07,10.521616541353396,0.1249828163065068,1.34999999999974e-07
4.9,0.1,4.003100000000001e-06,-1.59e-12,-4.0042000000000006e-06,1.1389999999999977e-06,1.59e-12,4.003100000000001e-06,40,5,1.33e-07,10.704887218045087,0.1235504529769525,1.2749999999998724e-07
5.0,0.1,4.1187e-06,4.841e-11,-4.1176e-06,1.144999999999999e-06,4.841e-11,4.1187e-06,40,5,1.33e-07,10.761278195488712,0.1224771604739065,1.900000000000446e-07
5.0,0.1,4.1176e-06,-4.8960000000000005e-11,-4.118e-06,1.158000000000002e-06,4.8960000000000005e-11,4.1176e-06,40,5,1.33e-07,10.88345864661656,0.1238541899795824,7.500000000000378e-08
4.9,0.1,4.0029e-06,-1.74e-12,-4.0037e-06,1.1374999999999986e-06,1.74e-12,4.0029e-06,40,5,1.33e-07,10.690789473684196,0.1234169483866763,1.5250000000002085e-07
4.8,0.1,3.8901e-06,4.4630000000000005e-11,-3.889900000000001e-06,1.127499999999998e-06,4.4630000000000005e-11,3.8901e-06,40,5,1.33e-07,10.596804511278174,0.1259088238066884,8.749999999997579e-08
4.7,0.1,3.777400000000001e-06,1.31e-12,-3.7773e-06,1.1200000000000037e-06,1.31e-12,3.777400000000001e-06,40,5,1.33e-07,10.526315789473712,0.1287822927563557,7.99999999999957e-08
4.6000000000000005,0.1,3.6661e-06,-3.718e-11,-3.6664e-06,1.1114999999999988e-06,3.718e-11,3.6661e-06,40,5,1.33e-07,10.44642857142856,0.1317057732401626,9.250000000002697e-08
4.5,0.1,3.5551000000000005e-06,-1.78e-12,-3.5558000000000003e-06,1.101499999999998e-06,1.78e-12,3.5551000000000005e-06,40,5,1.33e-07,10.352443609022536,0.1345712017434851,1.2749999999999362e-07
4.4,0.1,3.4458000000000005e-06,2.504e-11,-3.4463000000000004e-06,1.086e-06,2.504e-11,3.4458000000000005e-06,40,5,1.33e-07,10.206766917293232,0.1368924990317087,1.3249999999999397e-07
4.3,0.1,3.3379000000000003e-06,9.100000000000002e-13,-3.3375e-06,1.0749999999999992e-06,9.100000000000002e-13,3.3379000000000003e-06,40,5,1.33e-07,10.103383458646608,0.1398999622775941,9.250000000000052e-08
4.2,0.1,3.2308000000000005e-06,-1.3800000000000002e-11,-3.2314000000000005e-06,1.0675e-06,1.3800000000000002e-11,3.2308000000000005e-06,40,5,1.33e-07,10.032894736842104,0.1435334619756022,7.499999999999392e-08
4.1,0.1,3.1244e-06,-7.380000000000001e-12,-3.125e-06,1.0600000000000004e-06,7.380000000000001e-12,3.1244e-06,40,5,1.33e-07,9.962406015037597,0.1473786644496531,1.1999999999999726e-07
4.0,0.1,3.0188e-06,5.510000000000001e-12,-3.0197000000000005e-06,1.0435000000000005e-06,5.510000000000001e-12,3.0188e-06,40,5,1.33e-07,9.807330827067672,0.1501189614424094,1.42499999999995e-07
3.9,0.1,2.9157000000000003e-06,1.819e-11,-2.9150000000000005e-06,1.0315000000000017e-06,1.819e-11,2.9157000000000003e-06,40,5,1.33e-07,9.694548872180464,0.1537090509997043,9.499999999999775e-08
3.8,0.1,2.8125e-06,-1.5000000000000004e-13,-2.8134000000000005e-06,1.024500000000001e-06,1.5000000000000004e-13,2.8125e-06,40,5,1.33e-07,9.628759398496248,0.1582267993857924,8.750000000001199e-08
3.7,0.1,2.7108000000000004e-06,-3.2800000000000006e-11,-2.7109e-06,1.013999999999999e-06,3.2800000000000006e-11,2.7108000000000004e-06,40,5,1.33e-07,9.530075187969917,0.1625097277811303,1.2500000000000929e-07
3.6,0.1,2.6097e-06,-2.6000000000000002e-12,-2.6106000000000005e-06,9.99499999999999e-07,2.6000000000000002e-12,2.6097e-06,40,5,1.33e-07,9.393796992481192,0.1663403013888185,1.2750000000000418e-07
3.5,0.1,2.5109000000000004e-06,4.6240000000000007e-11,-2.5106e-06,9.884999999999982e-07,4.6240000000000007e-11,2.5109000000000004e-06,40,5,1.33e-07,9.290413533834569,0.1710664104753954,9.49999999999859e-08
3.4,0.1,2.4120000000000004e-06,6.6e-13,-2.4125e-06,9.80500000000002e-07,6.6e-13,2.4120000000000004e-06,40,5,1.33e-07,9.21522556390979,0.1765797149935723,1.1249999999998213e-07
3.3000000000000003,0.1,2.3148000000000003e-06,-5.0420000000000005e-11,-2.3153e-06,9.660000000000018e-07,5.0420000000000005e-11,2.3148000000000003e-06,40,5,1.33e-07,9.078947368421069,0.1812957313065813,1.3250000000001546e-07
3.2,0.1,2.2188000000000003e-06,-1.86e-12,-2.2195e-06,9.539999999999988e-07,1.86e-12,2.2188000000000003e-06,40,5,1.33e-07,8.96616541353382,0.1867948064103862,1.2500000000000929e-07
3.1,0.1,2.1240000000000003e-06,4.7910000000000006e-11,-2.1244000000000004e-06,9.41e-07,4.7910000000000006e-11,2.1240000000000003e-06,40,5,1.33e-07,8.843984962406012,0.1924688767933966,1.2749999999999362e-07
3.0,0.1,2.0306e-06,1.8700000000000003e-12,-2.0312e-06,9.285000000000002e-07,1.8700000000000003e-12,2.0306e-06,40,5,1.33e-07,8.726503759398494,0.1986675832480021,1.1499999999999797e-07
2.9,0.1,1.9383e-06,-4.459e-11,-1.9388000000000004e-06,9.180000000000004e-07,4.459e-11,1.9383e-06,40,5,1.33e-07,8.627819548872182,0.2057874320393884,1.1749999999999365e-07
2.8000000000000003,0.1,1.8470000000000005e-06,-2.34e-12,-1.8481e-06,9.050000000000015e-07,2.34e-12,1.8470000000000005e-06,40,5,1.33e-07,8.505639097744373,0.2128754336369767,1.3000000000000413e-07
2.7,0.1,1.7573e-06,3.605e-11,-1.7579e-06,8.919999999999996e-07,3.605e-11,1.7573e-06,40,5,1.33e-07,8.383458646616534,0.2205732809621883,1.1500000000001277e-07
2.6,0.1,1.6686000000000002e-06,1.5e-12,-1.6686000000000002e-06,8.819999999999988e-07,1.5e-12,1.6686000000000002e-06,40,5,1.33e-07,8.289473684210513,0.2297075478785169,1.1249999999999777e-07
2.5,0.1,1.5809000000000002e-06,-2.4320000000000003e-11,-1.5816000000000002e-06,8.695e-07,2.4320000000000003e-11,1.5809000000000002e-06,40,5,1.33e-07,8.171992481203004,0.2389910236348622,1.174999999999886e-07
2.4,0.1,1.4947e-06,-1.3000000000000001e-12,-1.4951e-06,8.585000000000011e-07,1.3000000000000001e-12,1.4947e-06,40,5,1.33e-07,8.0686090225564,0.2496588247376422,1.1749999999999416e-07
2.3000000000000003,0.1,1.4092000000000002e-06,1.185e-11,-1.4101e-06,8.460000000000012e-07,1.185e-11,1.4092000000000002e-06,40,5,1.33e-07,7.951127819548882,0.2608715122585895,1.3250000000000908e-07
2.2,0.1,1.3255e-06,5.620000000000001e-12,-1.3257e-06,8.319999999999993e-07,5.620000000000001e-12,1.3255e-06,40,5,1.33e-07,7.819548872180442,0.2728569496313368,1.2000000000001317e-07
