cap_type,VG,VD,W,L,freq,C_F,C_pF
cgs,5.0,0.0,20,20,10000.0,8.191610000000002e-13,0.8191610000000001
cgs,-3.0,0.0,40,20,10000.0,1.9500400000000001e-13,0.195004
cgs,-2.8000000000000003,0.0,40,20,10000.0,1.9511500000000002e-13,0.195115
cgs,-2.6,0.0,40,20,10000.0,1.9446700000000001e-13,0.194467
cgs,-2.4,0.0,40,20,10000.0,1.9486800000000001e-13,0.194868
cgs,-2.2,0.0,40,20,10000.0,1.9494800000000002e-13,0.19494800000000004
cgs,-2.0,0.0,40,20,10000.0,1.94318e-13,0.19431800000000002
cgs,-1.8,0.0,40,20,10000.0,1.95257e-13,0.19525700000000001
cgs,-1.6,0.0,40,20,10000.0,1.9554500000000005e-13,0.19554500000000005
cgs,-1.4,0.0,40,20,10000.0,1.9510200000000002e-13,0.19510200000000003
cgs,-1.2,0.0,40,20,10000.0,1.9541200000000002e-13,0.195412
cgs,-1.0,0.0,40,20,10000.0,1.9507100000000002e-13,0.19507100000000002
cgs,-0.8,0.0,40,20,10000.0,1.96715e-13,0.196715
cgs,-0.6,0.0,40,20,10000.0,1.98306e-13,0.198306
cgs,-0.4,0.0,40,20,10000.0,2.04918e-13,0.20491800000000002
cgs,-0.2,0.0,40,20,10000.0,2.1345600000000002e-13,0.213456
cgs,0.0,0.0,40,20,10000.0,2.2373600000000005e-13,0.22373600000000005
cgs,0.2,0.0,40,20,10000.0,4.55459e-13,0.455459
cgs,0.4,0.0,40,20,10000.0,1.26867e-12,1.2686700000000002
cgs,0.6,0.0,40,20,10000.0,1.4134100000000001e-12,1.41341
cgs,0.8,0.0,40,20,10000.0,1.4639800000000002e-12,1.4639800000000003
cgs,1.0,0.0,40,20,10000.0,1.49432e-12,1.49432
cgs,1.2,0.0,40,20,10000.0,1.517e-12,1.5170000000000001
cgs,1.4,0.0,40,20,10000.0,1.5342800000000002e-12,1.5342800000000003
cgs,1.6,0.0,40,20,10000.0,1.5485900000000002e-12,1.5485900000000001
cgs,1.8,0.0,40,20,10000.0,1.5602000000000004e-12,1.5602000000000003
cgs,2.0,0.0,40,20,10000.0,1.5703700000000001e-12,1.57037
cgs,2.2,0.0,40,20,10000.0,1.5776800000000002e-12,1.5776800000000002
cgs,2.4,0.0,40,20,10000.0,1.5841900000000001e-12,1.5841900000000002
cgs,2.6,0.0,40,20,10000.0,1.59012e-12,1.5901200000000002
cgs,2.8000000000000003,0.0,40,20,10000.0,1.59706e-12,1.5970600000000001
cgs,3.0,0.0,40,20,10000.0,1.5985700000000001e-12,1.59857
cgs,3.2,0.0,40,20,10000.0,1.6020400000000001e-12,1.6020400000000001
cgs,3.4,0.0,40,20,10000.0,1.6064700000000001e-12,1.60647
cgs,3.6,0.0,40,20,10000.0,1.6103900000000002e-12,1.6103900000000002
cgs,3.8,0.0,40,20,10000.0,1.6125e-12,1.6125
cgs,4.0,0.0,40,20,10000.0,1.6148700000000004e-12,1.6148700000000005
cgs,4.2,0.0,40,20,10000.0,1.61645e-12,1.61645
cgs,4.4,0.0,40,20,10000.0,1.6194400000000002e-12,1.6194400000000002
cgs,4.6000000000000005,0.0,40,20,10000.0,1.6207200000000002e-12,1.6207200000000002
cgs,4.8,0.0,40,20,10000.0,1.6221900000000002e-12,1.6221900000000002
cgs,5.0,0.0,40,20,10000.0,1.62334e-12,1.62334
cgs,-3.0,0.0,160,15,10000.0,5.21304e-13,0.521304
cgs,-2.8000000000000003,0.0,160,15,10000.0,5.2267e-13,0.5226700000000001
cgs,-2.6,0.0,160,15,10000.0,5.21481e-13,0.521481
cgs,-2.4,0.0,160,15,10000.0,5.20972e-13,0.520972
cgs,-2.2,0.0,160,15,10000.0,5.21168e-13,0.5211680000000001
cgs,-2.0,0.0,160,15,10000.0,5.223540000000001e-13,0.5223540000000001
cgs,-1.8,0.0,160,15,10000.0,5.22038e-13,0.522038
cgs,-1.6,0.0,160,15,10000.0,5.22345e-13,0.5223450000000001
cgs,-1.4,0.0,160,15,10000.0,5.23505e-13,0.523505
cgs,-1.2,0.0,160,15,10000.0,5.23318e-13,0.523318
cgs,-1.0,0.0,160,15,10000.0,5.23508e-13,0.523508
cgs,-0.8,0.0,160,15,10000.0,5.2667e-13,0.52667
cgs,-0.6,0.0,160,15,10000.0,5.32426e-13,0.532426
cgs,-0.4,0.0,160,15,10000.0,5.422630000000002e-13,0.5422630000000002
cgs,-0.2,0.0,160,15,10000.0,5.670890000000001e-13,0.5670890000000001
cgs,0.0,0.0,160,15,10000.0,6.016040000000002e-13,0.6016040000000001
cgs,0.2,0.0,160,15,10000.0,6.410390000000001e-13,0.6410390000000001
cgs,0.4,0.0,160,15,10000.0,7.0069e-13,0.70069
cgs,0.6,0.0,160,15,10000.0,1.34069e-12,1.34069
cgs,0.8,0.0,160,15,10000.0,3.5780300000000007e-12,3.5780300000000005
cgs,1.0,0.0,160,15,10000.0,4.0715900000000004e-12,4.0715900000000005
cgs,1.2,0.0,160,15,10000.0,4.24374e-12,4.24374
cgs,1.4,0.0,160,15,10000.0,4.34695e-12,4.3469500000000005
cgs,1.6,0.0,160,15,10000.0,4.422830000000001e-12,4.422830000000001
cgs,1.8,0.0,160,15,10000.0,4.48069e-12,4.48069
cgs,2.0,0.0,160,15,10000.0,4.529400000000001e-12,4.529400000000002
cgs,2.2,0.0,160,15,10000.0,4.5689300000000004e-12,4.568930000000001
cgs,2.4,0.0,160,15,10000.0,4.60244e-12,4.6024400000000005
cgs,2.6,0.0,160,15,10000.0,4.63163e-12,4.63163
cgs,2.8000000000000003,0.0,160,15,10000.0,4.65441e-12,4.65441
cgs,3.0,0.0,160,15,10000.0,4.67458e-12,4.67458
cgs,3.2,0.0,160,15,10000.0,4.691250000000001e-12,4.691250000000001
cgs,3.4,0.0,160,15,10000.0,4.70585e-12,4.70585
cgs,3.6,0.0,160,15,10000.0,4.718750000000001e-12,4.718750000000001
cgs,3.8,0.0,160,15,10000.0,4.72994e-12,4.72994
cgs,4.0,0.0,160,15,10000.0,4.7397300000000004e-12,4.739730000000001
cgs,4.2,0.0,160,15,10000.0,4.748910000000001e-12,4.74891
cgs,4.4,0.0,160,15,10000.0,4.75743e-12,4.75743
cgs,4.6000000000000005,0.0,160,15,10000.0,4.76418e-12,4.76418
cgs,4.8,0.0,160,15,10000.0,4.77212e-12,4.77212
cgs,5.0,0.0,160,15,10000.0,4.77829e-12,4.77829
cgs,-3.0,0.0,160,20,10000.0,6.863230000000002e-13,0.6863230000000001
cgs,-2.8000000000000003,0.0,160,20,10000.0,6.871140000000002e-13,0.6871140000000002
cgs,-2.6,0.0,160,20,10000.0,6.87433e-13,0.6874330000000001
cgs,-2.4,0.0,160,20,10000.0,6.87193e-13,0.687193
cgs,-2.2,0.0,160,20,10000.0,6.87882e-13,0.687882
cgs,-2.0,0.0,160,20,10000.0,6.87604e-13,0.687604
cgs,-1.8,0.0,160,20,10000.0,6.89356e-13,0.689356
cgs,-1.6,0.0,160,20,10000.0,6.885840000000002e-13,0.6885840000000002
cgs,-1.4,0.0,160,20,10000.0,6.88278e-13,0.6882780000000001
cgs,-1.2,0.0,160,20,10000.0,6.88812e-13,0.688812
cgs,-1.0,0.0,160,20,10000.0,6.90317e-13,0.6903170000000001
cgs,-0.8,0.0,160,20,10000.0,6.91699e-13,0.691699
cgs,-0.6,0.0,160,20,10000.0,6.954240000000002e-13,0.6954240000000002
cgs,-0.4,0.0,160,20,10000.0,7.05929e-13,0.705929
cgs,-0.2,0.0,160,20,10000.0,7.29607e-13,0.729607
cgs,0.0,0.0,160,20,10000.0,7.65924e-13,0.765924
cgs,0.2,0.0,160,20,10000.0,8.013370000000001e-13,0.8013370000000001
cgs,0.4,0.0,160,20,10000.0,8.482320000000001e-13,0.8482320000000001
cgs,0.6,0.0,160,20,10000.0,1.8343300000000003e-12,1.8343300000000002
cgs,0.8,0.0,160,20,10000.0,4.94033e-12,4.94033
cgs,1.0,0.0,160,20,10000.0,5.450350000000001e-12,5.450350000000001
cgs,1.2,0.0,160,20,10000.0,5.64286e-12,5.64286
cgs,1.4,0.0,160,20,10000.0,5.7642500000000014e-12,5.764250000000001
cgs,1.6,0.0,160,20,10000.0,5.85307e-12,5.853070000000001
cgs,1.8,0.0,160,20,10000.0,5.923150000000001e-12,5.923150000000001
cgs,2.0,0.0,160,20,10000.0,5.97873e-12,5.9787300000000005
cgs,2.2,0.0,160,20,10000.0,6.023960000000001e-12,6.0239600000000015
